Kind,Name,CountLineCode,CountLineComment,CountDeclInstanceMethod,CountDeclClass
Public Method,"proj.unipe.controllers.CategoriaController.updateForm",6,0,,
Public Class,"proj.unipe.controllers.ClienteController",67,4,7,
Public Method,"proj.unipe.controllers.ClienteController.cadastro",6,0,,
Public Method,"proj.unipe.controllers.ClienteController.confirmarCadastro",8,1,,
Public Method,"proj.unipe.controllers.ClienteController.filter",13,0,,
Public Method,"proj.unipe.controllers.ClienteController.insertForm",6,0,,
Public Method,"proj.unipe.controllers.ClienteController.list",6,0,,
Public Method,"proj.unipe.controllers.ClienteController.save",12,0,,
Public Method,"proj.unipe.controllers.ClienteController.updateForm",5,0,,
Public Class,"proj.unipe.controllers.DeliveryController",76,0,11,
Public Method,"proj.unipe.controllers.DeliveryController.adicionarItem",18,0,,
Private Method,"proj.unipe.controllers.DeliveryController.carrinho",9,0,,
Public Method,"proj.unipe.controllers.DeliveryController.detalharPedido",3,0,,
Private Method,"proj.unipe.controllers.DeliveryController.extracted",3,0,,
Public Method,"proj.unipe.controllers.DeliveryController.filtrar",3,0,,
Public Method,"proj.unipe.controllers.DeliveryController.finalizarPedido",3,0,,
Public Method,"proj.unipe.controllers.DeliveryController.list",3,0,,
Public Method,"proj.unipe.controllers.DeliveryController.novoDelivery",3,0,,
Public Method,"proj.unipe.controllers.DeliveryController.remove",4,0,,
Public Method,"proj.unipe.controllers.DeliveryController.selectCardapio",9,0,,
Public Method,"proj.unipe.controllers.DeliveryController.selectStatus",3,0,,
Public Class,"proj.unipe.controllers.DeliveryControllerProduct",35,0,7,
Public Method,"proj.unipe.controllers.DeliveryControllerProduct.detalharPedido",7,0,,
Public Method,"proj.unipe.controllers.DeliveryControllerProduct.filtrar",3,0,,
Public Method,"proj.unipe.controllers.DeliveryControllerProduct.finalizarPedido",3,0,,
Public Method,"proj.unipe.controllers.DeliveryControllerProduct.list",3,0,,
Public Method,"proj.unipe.controllers.DeliveryControllerProduct.novoDelivery",3,0,,
Public Method,"proj.unipe.controllers.DeliveryControllerProduct.remove",4,0,,
Public Method,"proj.unipe.controllers.DeliveryControllerProduct.selectStatus",3,0,,
Public Class,"proj.unipe.controllers.DeliveryControllerProductProduct",57,0,7,
Private Method,"proj.unipe.controllers.DeliveryControllerProductProduct.cliente",8,0,,
Method,"proj.unipe.controllers.DeliveryControllerProductProduct.delivery",8,0,,
Method,"proj.unipe.controllers.DeliveryControllerProductProduct.delivery1",6,0,,
Private Method,"proj.unipe.controllers.DeliveryControllerProductProduct.item",7,0,,
Public Method,"proj.unipe.controllers.DeliveryControllerProductProduct.novoDelivery",8,0,,
Public Method,"proj.unipe.controllers.DeliveryControllerProductProduct.remove",10,0,,
Public Method,"proj.unipe.controllers.DeliveryControllerProductProduct.selectStatus",7,0,,
Public Class,"proj.unipe.controllers.DeliveryControllerProductProduct2",60,3,7,
Private Method,"proj.unipe.controllers.DeliveryControllerProductProduct2.cliente",8,0,,
Private Method,"proj.unipe.controllers.DeliveryControllerProductProduct2.delivery",3,3,,
Public Method,"proj.unipe.controllers.DeliveryControllerProductProduct2.filtrar",11,0,,
Public Method,"proj.unipe.controllers.DeliveryControllerProductProduct2.finalizarPedido",19,0,,
Public Method,"proj.unipe.controllers.DeliveryControllerProductProduct2.getDeliveryControllerProductProduct",3,0,,
Public Method,"proj.unipe.controllers.DeliveryControllerProductProduct2.getPedidoService",3,0,,
Public Method,"proj.unipe.controllers.DeliveryControllerProductProduct2.list",7,0,,
Public Class,"proj.unipe.controllers.FuncionarioController",50,0,5,
Public Method,"proj.unipe.controllers.FuncionarioController.editar",5,0,,
Public Method,"proj.unipe.controllers.FuncionarioController.filtro",13,0,,
Public Method,"proj.unipe.controllers.FuncionarioController.list",6,0,,
Public Method,"proj.unipe.controllers.FuncionarioController.novo",5,0,,
Public Method,"proj.unipe.controllers.FuncionarioController.salvar",12,0,,
Public Class,"proj.unipe.controllers.LayoutController",10,0,2,
Public Method,"proj.unipe.controllers.LayoutController.menu",3,0,,
Public Method,"proj.unipe.controllers.LayoutController.rodape",3,0,,
Public Interface,"proj.unipe.controllers.Logar",2,0,1,
